Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud,IATA,ICAO,Airport name,Country,City,Information
85,CASANARE,85430,trinidad,Municipio,"-71,662812","5,412178",TDA,SKTD,Trinidad Airport,Colombia,trinidad,https://www.worlddata.info/america/colombia/airports.php
86,PUTUMAYO,86568,puerto asís,Municipio,"-76,496887","0,505627",PUU,SKAS,Tres De Mayo Airport,Colombia,puerto asís,https://www.worlddata.info/america/colombia/airports.php
86,PUTUMAYO,86573,puerto leguízamo,Municipio,"-74,781842","-0,192318",LQM,SKLG,Caucaya Airport,Colombia,puerto leguízamo,https://www.worlddata.info/america/colombia/airports.php
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,san andrés,Isla,"-81,707181","12,578108",ADZ,SKSP,Gustavo Rojas Pinilla International Airport,Colombia,san andrés,https://www.worlddata.info/america/colombia/airports.php
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,providencia,Municipio,"-81,368386","13,373185",PVA,SKPV,El Embrujo Airport,Colombia,providencia,https://www.worlddata.info/america/colombia/airports.php
91,AMAZONAS,91001,leticia,Municipio,"-69,941721","-4,19895",LET,SKLT,Alfredo Vásquez Cobo International Airport,Colombia,leticia,https://www.worlddata.info/america/colombia/airports.php
91,AMAZONAS,91263,el encanto,Área no municipalizada,"-73,207114","-1,74806",ECO,,El Encanto Airport,Colombia,el encanto,https://www.worlddata.info/america/colombia/airports.php
91,AMAZONAS,91405,la chorrera,Área no municipalizada,"-72,791889","-1,442617",LCR,,Virgilio Barco Vargas (La Chorrera) Airport,Colombia,la chorrera,https://www.worlddata.info/america/colombia/airports.php
91,AMAZONAS,91407,la pedrera,Área no municipalizada,"-69,585499","-1,320301",LPD,SKLP,La Pedrera Airport,Colombia,la pedrera,https://www.worlddata.info/america/colombia/airports.php
91,AMAZONAS,91798,tarapacá,Área no municipalizada,"-69,741745","-2,890126",TCD,,Tarapacá Airport,Colombia,tarapacá,https://www.worlddata.info/america/colombia/airports.php
94,GUAINÍA,94888,morichal,Área no municipalizada,"-69,919404","2,265132",MHF,,Morichal Airport,Colombia,morichal,https://www.worlddata.info/america/colombia/airports.php
95,GUAVIARE,95001,san josé del guaviare,Municipio,"-72,639254","2,565932",SJE,SKSJ,Jorge E. Gonzalez Torres Airport,Colombia,san josé del guaviare,https://www.worlddata.info/america/colombia/airports.php
95,GUAVIARE,95200,miraflores,Municipio,"-71,950416","1,337539",MFS,SKMF,Miraflores Airport,Colombia,miraflores,https://www.worlddata.info/america/colombia/airports.php
97,VAUPÉS,97001,mitú,Municipio,"-70,232641","1,253151",MVP,SKMU,Fabio Alberto Leon Bentley Airport,Colombia,mitú,https://www.worlddata.info/america/colombia/airports.php
97,VAUPÉS,97161,carurú,Municipio,"-71,30221","1,016116",CUO,SKCR,Carurú Airport,Colombia,carurú,https://www.worlddata.info/america/colombia/airports.php
99,VICHADA,99001,puerto carreño,Municipio,"-67,487095","6,186636",PCR,SKPC,German Olano Airport,Colombia,puerto carreño,https://www.worlddata.info/america/colombia/airports.php
99,VICHADA,99524,la primavera,Municipio,"-70,410515","5,486309",LPE,,La Primavera Airport,Colombia,la primavera,https://www.worlddata.info/america/colombia/airports.php
